year,effective_parties
1907 , 3.56569798538
1908 , 3.54924578527
1909 , 3.63768643143
1910 , 3.66636113657
1911 , 3.64896916621
1913 , 3.52920416446
1916 , 3.06983883346
1917 , 3.56951633054
1919 , 3.95569620253
1922 , 5.23697302959
1924 , 4.92489534597
1927 , 4.68603561387
1929 , 4.45831475702
1930 , 3.95100750691
1933 , 4.00480576692
1936 , 3.70851103282
1939 , 3.50446819695
1945 , 4.78240076518
1948 , 4.55580865604
1951 , 4.79616306954
1954 , 4.7258979206
1958 , 4.8828125
1962 , 5.10855683269
1966 , 4.97760079642
1970 , 5.57413600892
1972 , 5.52028705493
1975 , 5.32481363152
1979 , 5.22056904203
1983 , 5.15331100232
1987 , 4.94315373208
1991 , 5.24521374246
1995 , 4.8971596474
1999 , 5.14933058702
2003 , 4.92975104757
2007 , 5.13083632632
2011 , 5.83090379009
2015 , 5.84282792872
